submodel21	submodel22	submodel23	submodel24	submodel25	submodel26	submodel27	submodel28	submodel29	submodel210	submodel211	submodel212	submodel213	submodel214	submodel215	submodel216	submodel217	submodel218	submodel219	submodel220	submodel221	submodel222	submodel223	submodel224	submodel225	submodel226	submodel227	submodel228	submodel229	submodel230	submodel231	submodel232	submodel233	submodel234	submodel235	submodel236	submodel237	submodel238	submodel239
790	2138	ENSG00000120217	CD274	1	ENSG00000111142	METAP2	METAP2 _( -19170 )	4	chr12_95453786_95454350	6	1	0	1	1	1	0	1	1	0.200591693796064	0.200591693796064	0	0	0.213487262453139	0.213487262453139	0.0730672619660771	0.0730672619660771	0.0140393533044285	0.0140393533044285	0	0	0.113587613962362	0.113587613962362	0.0794965380106723	0.0794965380106723	0.213487262453139	0.115711620582124	1	0.200591693796064
698	2138	ENSG00000115415	STAT1	1	ENSG00000111142	METAP2	METAP2 _( -19170 )	4	chr12_95453786_95454350	5	1	0	1	0	1	0	1	1	0.085621532662781	0.085621532662781	0	0	0.00103961970044011	0.00103961970044011	0	0	0.0100150642280092	0.0100150642280092	0	0	0.0415545876094579	0.0415545876094579	0.0967402316828209	0.0967402316828209	0.0967402316828209	0.0469942071767018	1	0.085621532662781
880	6765	ENSG00000125347	IRF1	1	ENSG00000125347	IRF1	IRF1 _( 14996 )	4	chr5_132475131_132475802	5	1	1	0	1	1	0	1	0	0.146870077882192	0.146870077882192	0.0461199607549261	0.0461199607549261	0	0	0.130192237269467	0.130192237269467	0.000489058761968366	0.000489058761968366	0	0	0.175150485072657	0.175150485072657	0	0	0.175150485072657	0.0997643639482422	1	0.146870077882192
698	6765	ENSG00000115415	STAT1	1	ENSG00000125347	IRF1	IRF1 _( 14996 )	4	chr5_132475131_132475802	6	1	1	0	1	1	0	1	1	0.0937222801190554	0.0937222801190554	0.0349148521507784	0.0349148521507784	0	0	0.0155092758084711	0.0155092758084711	0.0106336877161933	0.0106336877161933	0	0	0.193495580665342	0.193495580665342	0.0267600934650658	0.0267600934650658	0.193495580665342	0.0625059616541511	1	0.0937222801190554
2412	44	ENSG00000197142	ACSL5	1	ENSG00000120217	CD274	PD-L1	2		6	1	0	1	1	1	0	1	1	0.408679411642998	0.408679411642998	0	0	0.194450253901258	0.194450253901258	0.269899671152234	0.269899671152234	0.486805140985549	0.486805140985549	0	0	0.337574952625293	0.337574952625293	0.300045081817359	0.300045081817359	0.486805140985549	0.332909085354115	1	0.408679411642998
2490	44	ENSG00000203812	HIST2H2AA3	1	ENSG00000120217	CD274	PD-L1	2		5	1	0	1	0	1	1	1	0	0.0627017510403309	0.0627017510403309	0	0	0.0579408903870793	0.0579408903870793	0	0	0.0936681912804392	0.0936681912804392	0.12002913062077	0.12002913062077	0.045670116229956	0.045670116229956	0	0	0.12002913062077	0.0760020159117151	2	0.182730881661101
1537	32	ENSG00000155962	CLIC2	1	ENSG00000125347	IRF1	IRF-1	2		6	1	0	1	1	1	0	1	1	0.113053744549115	0.113053744549115	0	0	0.0268512166165368	0.0268512166165368	0.0707980976401657	0.0707980976401657	0.14910784299622	0.14910784299622	0	0	0.289205582916737	0.289205582916737	0.104625088098835	0.104625088098835	0.289205582916737	0.125606928802935	1	0.113053744549115
976	32	ENSG00000130303	BST2	1	ENSG00000125347	IRF1	IRF-1	2		4	1	0	1	1	0	0	0	1	0.0821864511505401	0.0821864511505401	0	0	0.096841989459793	0.096841989459793	0.0798142245896675	0.0798142245896675	0	0	0	0	0	0	0.0220983855976921	0.0220983855976921	0.096841989459793	0.0702352626994232	1	0.0821864511505401
1537	44	ENSG00000155962	CLIC2	1	ENSG00000120217	CD274	PD-L1	2		1	1	0	0	0	0	0	0	0	0.0506214209317203	0.0506214209317203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0506214209317203	0.0506214209317203	1	0.0506214209317203
2490	32	ENSG00000203812	HIST2H2AA3	1	ENSG00000125347	IRF1	IRF-1	2		3	1	0	1	0	0	1	0	0	0.0189443050989414	0.0189443050989414	0	0	0.0179416750319481	0.0179416750319481	0	0	0	0	0.0268309719978	0.0268309719978	0	0	0	0	0.0268309719978	0.0212389840428965	2	0.0457752770967414
2412	32	ENSG00000197142	ACSL5	1	ENSG00000125347	IRF1	IRF-1	2		5	1	0	1	1	1	0	1	0	0.0442787169876059	0.0442787169876059	0	0	0.00727162577644068	0.00727162577644068	0.0672810269813322	0.0672810269813322	0.212246324302113	0.212246324302113	0	0	0.0719441476664349	0.0719441476664349	0	0	0.212246324302113	0.0806043683427854	1	0.0442787169876059
421	32	ENSG00000101447	FAM83D	1	ENSG00000125347	IRF1	IRF-1	2		1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0166311005609237	0.0166311005609237	0	0	0	0	0.0166311005609237	0.0166311005609237	1	0.0166311005609237
421	44	ENSG00000101447	FAM83D	1	ENSG00000120217	CD274	PD-L1	2		1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.013895071050907	0.013895071050907	0	0	0	0	0.013895071050907	0.013895071050907	1	0.013895071050907
976	44	ENSG00000130303	BST2	1	ENSG00000120217	CD274	PD-L1	2		2	1	0	0	0	0	0	0	1	0.0120953142083029	0.0120953142083029	0	0	0	0	0	0	0	0	0	0	0	0	0.0850879178842075	0.0850879178842075	0.0850879178842075	0.0485916160462552	1	0.0120953142083029
